id,NAME_1,Total_Crime
1,Andaman and Nicobar ,98
2,Andhra Pradesh,6358
3,Arunachal Pradesh,573
4,Assam,12074
5,Bihar,16855
6,Chandigarh,401
7,Chhattisgarh,6176
8,Dadra and Nagar Haveli,40
9,Daman and Diu ,34
10,Delhi,19015
11,Goa,470
12,Gujarat,7043
13,Haryana,8510
14,Himachal Pradesh,1108
15,Jammu and Kashmir     ,1869
16,Jharkhand,6223
17,Karnataka,9101
18,Kerala,4511
19,Lakshadweep,100
20,Madhya Pradesh,22671
21,Maharashtra,27861
22,Manipur,505
23,Meghalaya,771
24,Mizoram,282
25,Nagaland,286
26, Orissa,10664
27,Puducherry,100
28,Punjab,4090
29,Rajasthan,18879
30,Sikkim,161
31,Tamil Nadu,7628
32,Telangana,5987
33,Tripura,771
34,Uttar Pradesh,1624
35,Uttaranchal,586
36,West Bengal,17293
